visuals\learn\ExponentialDistributionPrimitive.tsx || 226:104 || react/no-unescaped-entities || `"` can be escaped with `&quot;`, `&ldquo;`, `&#34;`, `&rdquo;`.
visuals\learn\ExponentialDistributionPrimitive.tsx || 226:108 || react/no-unescaped-entities || `"` can be escaped with `&quot;`, `&ldquo;`, `&#34;`, `&rdquo;`.
visuals\learn\ExponentialDistributionPrimitive.tsx || 308:39 || react/no-unescaped-entities || `'` can be escaped with `&apos;`, `&lsquo;`, `&#39;`, `&rsquo;`.
visuals\learn\ExponentialDistributionPrimitive.tsx || 308:213 || react/no-unescaped-entities || `"` can be escaped with `&quot;`, `&ldquo;`, `&#34;`, `&rdquo;`.
visuals\learn\ExponentialDistributionPrimitive.tsx || 308:220 || react/no-unescaped-entities || `"` can be escaped with `&quot;`, `&ldquo;`, `&#34;`, `&rdquo;`.
visuals\learn\FancyBooleanIndexingPrimitive.tsx || 78:57 || @typescript-eslint/no-unused-vars || 'config' is defined but never used.
visuals\learn\FeatureScalingPrimitive.tsx || 74:8 || react-hooks/exhaustive-deps || React Hook useEffect has missing dependencies: 'm.color', 'm.xL', and 'm.yL'. Either inclu
visuals\learn\FeatureSelectionPrimitive.tsx || 50:21 || react/no-unescaped-entities || `"` can be escaped with `&quot;`, `&ldquo;`, `&#34;`, `&rdquo;`.
visuals\learn\FeatureSelectionPrimitive.tsx || 50:113 || react/no-unescaped-entities || `"` can be escaped with `&quot;`, `&ldquo;`, `&#34;`, `&rdquo;`.
visuals\learn\GeneratorsPrimitive.tsx || 10:47 || @typescript-eslint/no-unused-vars || 'config' is defined but never used.
visuals\learn\GradientBackflowPrimitive.tsx || 13:14 || @typescript-eslint/no-unused-vars || 'activation' is defined but never used.
visuals\learn\GradientBoostingPrimitive.tsx || 62:51 || react-hooks/exhaustive-deps || React Hook useEffect has missing dependencies: 'drawMain' and 'drawResid'. Either include 
visuals\learn\GradientBoostingPrimitive.tsx || 185:21 || react/no-unescaped-entities || `"` can be escaped with `&quot;`, `&ldquo;`, `&#34;`, `&rdquo;`.
visuals\learn\GradientBoostingPrimitive.tsx || 185:106 || react/no-unescaped-entities || `"` can be escaped with `&quot;`, `&ldquo;`, `&#34;`, `&rdquo;`.
visuals\learn\GradientBoostingPrimitive.tsx || 197:152 || react/no-unescaped-entities || `'` can be escaped with `&apos;`, `&lsquo;`, `&#39;`, `&rsquo;`.
visuals\learn\GradientBoostingPrimitive.tsx || 228:52 || react/jsx-no-comment-textnodes || Comments inside children section of tag should be placed inside braces
visuals\learn\GradientChainRulePrimitive.tsx || 34:54 || @typescript-eslint/no-unused-vars || 'config' is defined but never used.
visuals\learn\GradientChainRulePrimitive.tsx || 70:13 || @typescript-eslint/no-unused-expressions || Expected an assignment or function call and instead saw an expression.
visuals\learn\GradientChainRulePrimitive.tsx || 83:13 || @typescript-eslint/no-unused-expressions || Expected an assignment or function call and instead saw an expression.
visuals\learn\GradientDescentOptimizer.tsx || 3:59 || @typescript-eslint/no-unused-vars || 'useMemo' is defined but never used.
visuals\learn\GradientDescentOptimizer.tsx || 4:10 || @typescript-eslint/no-unused-vars || 'motion' is defined but never used.
visuals\learn\GradientDescentOptimizer.tsx || 4:18 || @typescript-eslint/no-unused-vars || 'AnimatePresence' is defined but never used.
visuals\learn\GradientDescentOptimizer.tsx || 64:26 || @typescript-eslint/no-explicit-any || Unexpected any. Specify a different type.
visuals\learn\GradientDescentOptimizer.tsx || 65:17 || @typescript-eslint/no-explicit-any || Unexpected any. Specify a different type.
visuals\learn\GradientDescentOptimizer.tsx || 118:30 || @typescript-eslint/no-explicit-any || Unexpected any. Specify a different type.
visuals\learn\GradientDescentOptimizer.tsx || 147:8 || react-hooks/exhaustive-deps || React Hook useCallback has a missing dependency: 'render'. Either include it or remove the
visuals\learn\GradientDescentOptimizer.tsx || 160:8 || react-hooks/exhaustive-deps || React Hook useEffect has a missing dependency: 'render'. Either include it or remove the d
visuals\learn\GradientDescentOptimizer.tsx || 233:75 || @typescript-eslint/no-explicit-any || Unexpected any. Specify a different type.
visuals\learn\GradientDescentOptimizer.tsx || 266:27 || @typescript-eslint/no-explicit-any || Unexpected any. Specify a different type.
visuals\learn\GradientDescentOptimizer.tsx || 267:77 || @typescript-eslint/no-explicit-any || Unexpected any. Specify a different type.
visuals\learn\GroupByPrimitive.tsx || 33:44 || @typescript-eslint/no-unused-vars || 'config' is defined but never used.
visuals\learn\KNNClassificationPrimitive.tsx || 59:34 || react-hooks/exhaustive-deps || React Hook useEffect has a missing dependency: 'draw'. Either include it or remove the dep
visuals\learn\KNNClassificationPrimitive.tsx || 152:21 || react/no-unescaped-entities || `"` can be escaped with `&quot;`, `&ldquo;`, `&#34;`, `&rdquo;`.
visuals\learn\KNNClassificationPrimitive.tsx || 152:107 || react/no-unescaped-entities || `"` can be escaped with `&quot;`, `&ldquo;`, `&#34;`, `&rdquo;`.
visuals\learn\KNNClassificationPrimitive.tsx || 177:64 || react/jsx-no-comment-textnodes || Comments inside children section of tag should be placed inside braces
visuals\learn\KNNRegressionPrimitive.tsx || 52:34 || react-hooks/exhaustive-deps || React Hook useEffect has a missing dependency: 'draw'. Either include it or remove the dep
visuals\learn\KNNRegressionPrimitive.tsx || 150:21 || react/no-unescaped-entities || `"` can be escaped with `&quot;`, `&ldquo;`, `&#34;`, `&rdquo;`.
visuals\learn\KNNRegressionPrimitive.tsx || 150:111 || react/no-unescaped-entities || `"` can be escaped with `&quot;`, `&ldquo;`, `&#34;`, `&rdquo;`.
visuals\learn\KNNRegressionPrimitive.tsx || 175:41 || react/jsx-no-comment-textnodes || Comments inside children section of tag should be placed inside braces
